,VIF Factor,features
0,295.4415126680841,Intercept
1,1.0933230113360592,active
2,1.0873631012971001,bfast
3,1.0152261686690218,birth_cat
4,1.3846993436129318,callcard
5,1.6512372254196777,callid
6,1.4729051437272358,carbought
7,1.0680218481136794,carbuy
8,1.189546117095901,card
9,1.2035013830636552,card2
10,1.013337950747119,card2benefit
11,1.0117116784699574,card2fee
12,1.011108408519927,card2type
13,1.0130881315141134,cardbenefit
14,1.0113003184919842,cardfee
15,1.01644563114343,cardtype
16,1.9376011733124743,cars
17,1.3848789994893438,cartype
18,1.299153827218497,churn
19,1.054693687158755,commutebike
20,1.0517697317538588,commutebus
21,1.0219071613869763,commutecarpool
22,1.837660882039874,commutecat
23,1.0344590208244115,commuterail
24,1.3243260299400437,commutetime
25,1.1547578404602203,commutewalk
26,1.5911182085193332,creddebt
27,1.4000014526087963,debtinc
28,1.3018706116843097,default
29,1.758412380579741,ebill
30,1.5000981107765523,edcat
31,1.8523281043430442,equip
32,1.0211878690108578,gender
33,1.0598468670770795,homeown
34,1.0216839408115301,hometype
35,1.025012643304846,hourstv
36,1.0896587273659974,jobcat
37,1.2130533151922953,jobsat
38,1.292034744403213,lnwireten
39,1.0799621612366488,marital
40,1.4386641530586088,multline
41,1.3582290514044086,news
42,1.5090421464788577,ownfax
43,1.4589935334069044,owngame
44,1.4362112514759318,ownipod
45,1.553245395820789,ownpda
46,1.200614361130246,pets
47,1.0302375285276544,pets_birds
48,1.0874042320496011,pets_cats
49,1.0663472519178696,pets_dogs
50,1.051119555076551,pets_small
51,1.0244520405557067,polcontrib
52,1.0342781201504687,polparty
53,1.0369413839081167,polview
54,1.0120781006703767,reason
55,1.2267855867525723,region
56,1.020498011972294,response_02
57,1.306913798351297,retire
58,1.0401571789707507,telecommute
59,1.7291607797159154,tollten
60,1.713196548291001,townsize
61,1.0181962458316087,union
62,1.8769091482992968,voice
63,1.0451806603630585,vote
